experiment_id,model,provenance,task_id,kind,repeat,latency_s,client_peak_rss_mb,client_cpu_s,answer,error,trace,input_tokens,output_tokens,schema_valid,numeric_correct,decision_correct,correct,expected
d8657fd1-d118-40de-98c1-7c2f2fc605a2,demo-exact,demo,GA_42_0013,position,2,8.000000161700882e-05,101.77734375,0.0,"{""value"": 0.3477641298351507, ""passed"": false, ""unit"": ""mm"", ""explanation"": ""Scripted demo using an allowlisted arithmetic tool.""}",,"[{""step"": 0, ""response"": ""{\""tool\"": \""distance\"", \""args\"": {\""a\"": [10, 20, 30], \""b\"": [10.0968, 20.1638, 30.2911]}}"", ""tool_ok"": true, ""feedback"": {""result"": 0.3477641298351507}}, {""step"": 1, ""response"": ""{\""value\"": 0.3477641298351507, \""passed\"": false, \""unit\"": \""mm\"", \""explanation\"": \""Scripted demo using an allowlisted arithmetic tool.\""}""}]",,,True,True,True,True,"{""value"": 0.3477641298351507, ""passed"": false, ""unit"": ""mm""}"
d8657fd1-d118-40de-98c1-7c2f2fc605a2,demo-imperfect,demo,GA_42_0020,dimension,0,4.380000245873816e-05,101.78125,0.0,"{""value"": 0.4504999999999999, ""passed"": false, ""unit"": ""mm"", ""explanation"": ""Scripted demo using an allowlisted arithmetic tool.""}",,"[{""step"": 0, ""response"": ""{\""tool\"": \""subtract\"", \""args\"": {\""a\"": 10.4505, \""b\"": 10}}"", ""tool_ok"": true, ""feedback"": {""result"": 0.4504999999999999}}, {""step"": 1, ""response"": ""{\""value\"": 0.4504999999999999, \""passed\"": false, \""unit\"": \""mm\"", \""explanation\"": \""Scripted demo using an allowlisted arithmetic tool.\""}""}]",,,True,True,True,True,"{""value"": 0.4504999999999999, ""passed"": false, ""unit"": ""mm""}"
d8657fd1-d118-40de-98c1-7c2f2fc605a2,demo-imperfect,demo,GA_42_0006,stack,2,6.170000051497482e-05,101.78125,0.0,"{""value"": 0.2667, ""passed"": false, ""unit"": ""mm"", ""explanation"": ""Scripted demo using an allowlisted arithmetic tool.""}",,"[{""step"": 0, ""response"": ""{\""tool\"": \""sum_abs\"", \""args\"": {\""values\"": [0.1162, 0.0324, 0.0692, 0.0489]}}"", ""tool_ok"": true, ""feedback"": {""result"": 0.2667}}, {""step"": 1, ""response"": ""{\""value\"": 0.2667, \""passed\"": false, \""unit\"": \""mm\"", \""explanation\"": \""Scripted demo using an allowlisted arithmetic tool.\""}""}]",,,True,True,True,True,"{""value"": 0.2667, ""passed"": false, ""unit"": ""mm""}"
d8657fd1-d118-40de-98c1-7c2f2fc605a2,demo-exact,demo,GA_42_0017,position,0,4.8999998398358e-05,101.78515625,0.0,"{""value"": 0.27043130366139095, ""passed"": true, ""unit"": ""mm"", ""explanation"": ""Scripted demo using an allowlisted arithmetic tool.""}",,"[{""step"": 0, ""response"": ""{\""tool\"": \""distance\"", \""args\"": {\""a\"": [10, 20, 30], \""b\"": [9.7428, 20.081, 30.0205]}}"", ""tool_ok"": true, ""feedback"": {""result"": 0.27043130366139095}}, {""step"": 1, ""response"": ""{\""value\"": 0.27043130366139095, \""passed\"": true, \""unit\"": \""mm\"", \""explanation\"": \""Scripted demo using an allowlisted arithmetic tool.\""}""}]",,,True,True,True,True,"{""value"": 0.27043130366139095, ""passed"": true, ""unit"": ""mm""}"
d8657fd1-d118-40de-98c1-7c2f2fc605a2,demo-exact,demo,GA_42_0020,dimension,0,3.7599998904624954e-05,101.78515625,0.0,"{""value"": 0.4504999999999999, ""passed"": false, ""unit"": ""mm"", ""explanation"": ""Scripted demo using an allowlisted arithmetic tool.""}",,"[{""step"": 0, ""response"": ""{\""tool\"": \""subtract\"", \""args\"": {\""a\"": 10.4505, \""b\"": 10}}"", ""tool_ok"": true, ""feedback"": {""result"": 0.4504999999999999}}, {""step"": 1, ""response"": ""{\""value\"": 0.4504999999999999, \""passed\"": false, \""unit\"": \""mm\"", \""explanation\"": \""Scripted demo using an allowlisted arithmetic tool.\""}""}]",,,True,True,True,True,"{""value"": 0.4504999999999999, ""passed"": false, ""unit"": ""mm""}"
d8657fd1-d118-40de-98c1-7c2f2fc605a2,demo-imperfect,demo,GA_42_0022,stack,2,4.030000127386302e-05,101.78515625,0.0,"{""value"": 0.35400000000000004, ""passed"": false, ""unit"": ""mm"", ""explanation"": ""Scripted demo using an allowlisted arithmetic tool.""}",,"[{""step"": 0, ""response"": ""{\""tool\"": \""sum_abs\"", \""args\"": {\""values\"": [0.1327, 0.0541, 0.1018, 0.0654]}}"", ""tool_ok"": true, ""feedback"": {""result"": 0.35400000000000004}}, {""step"": 1, ""response"": ""{\""value\"": 0.35400000000000004, \""passed\"": false, \""unit\"": \""mm\"", \""explanation\"": \""Scripted demo using an allowlisted arithmetic tool.\""}""}]",,,True,True,False,False,"{""value"": 0.35400000000000004, ""passed"": true, ""unit"": ""mm""}"
d8657fd1-d118-40de-98c1-7c2f2fc605a2,demo-imperfect,demo,GA_42_0002,stack,0,3.909999941242859e-05,101.78515625,0.0,"{""value"": 0.2404, ""passed"": true, ""unit"": ""mm"", ""explanation"": ""Scripted demo using an allowlisted arithmetic tool.""}",,"[{""step"": 0, ""response"": ""{\""tool\"": \""sum_abs\"", \""args\"": {\""values\"": [0.1349, 0.0222, 0.0691, 0.0142]}}"", ""tool_ok"": true, ""feedback"": {""result"": 0.2404}}, {""step"": 1, ""response"": ""{\""value\"": 0.2404, \""passed\"": true, \""unit\"": \""mm\"", \""explanation\"": \""Scripted demo using an allowlisted arithmetic tool.\""}""}]",,,True,True,True,True,"{""value"": 0.2404, ""passed"": true, ""unit"": ""mm""}"
d8657fd1-d118-40de-98c1-7c2f2fc605a2,demo-exact,demo,GA_42_0021,position,1,3.9599999581696466e-05,101.78515625,0.0,"{""value"": 0.36431715578600077, ""passed"": false, ""unit"": ""mm"", ""explanation"": ""Scripted demo using an allowlisted arithmetic tool.""}",,"[{""step"": 0, ""response"": ""{\""tool\"": \""distance\"", \""args\"": {\""a\"": [10, 20, 30], \""b\"": [9.9407, 19.7397, 30.2479]}}"", ""tool_ok"": true, ""feedback"": {""result"": 0.36431715578600077}}, {""step"": 1, ""response"": ""{\""value\"": 0.36431715578600077, \""passed\"": false, \""unit\"": \""mm\"", \""explanation\"": \""Scripted demo using an allowlisted arithmetic tool.\""}""}]",,,True,True,True,True,"{""value"": 0.36431715578600077, ""passed"": false, ""unit"": ""mm""}"
d8657fd1-d118-40de-98c1-7c2f2fc605a2,demo-imperfect,demo,GA_42_0014,stack,1,5.0000002374872565e-05,101.7890625,0.0,"{""value"": 0.3948, ""passed"": true, ""unit"": ""mm"", ""explanation"": ""Scripted demo using an allowlisted arithmetic tool.""}",,"[{""step"": 0, ""response"": ""{\""tool\"": \""sum_abs\"", \""args\"": {\""values\"": [0.1313, 0.0632, 0.0735, 0.1268]}}"", ""tool_ok"": true, ""feedback"": {""result"": 0.3948}}, {""step"": 1, ""response"": ""{\""value\"": 0.3948, \""passed\"": true, \""unit\"": \""mm\"", \""explanation\"": \""Scripted demo using an allowlisted arithmetic tool.\""}""}]",,,True,True,False,False,"{""value"": 0.3948, ""passed"": false, ""unit"": ""mm""}"
d8657fd1-d118-40de-98c1-7c2f2fc605a2,demo-exact,demo,GA_42_0013,position,0,4.169999738223851e-05,101.7890625,0.0,"{""value"": 0.3477641298351507, ""passed"": false, ""unit"": ""mm"", ""explanation"": ""Scripted demo using an allowlisted arithmetic tool.""}",,"[{""step"": 0, ""response"": ""{\""tool\"": \""distance\"", \""args\"": {\""a\"": [10, 20, 30], \""b\"": [10.0968, 20.1638, 30.2911]}}"", ""tool_ok"": true, ""feedback"": {""result"": 0.3477641298351507}}, {""step"": 1, ""response"": ""{\""value\"": 0.3477641298351507, \""passed\"": false, \""unit\"": \""mm\"", \""explanation\"": \""Scripted demo using an allowlisted arithmetic tool.\""}""}]",,,True,True,True,True,"{""value"": 0.3477641298351507, ""passed"": false, ""unit"": ""mm""}"
d8657fd1-d118-40de-98c1-7c2f2fc605a2,demo-imperfect,demo,GA_42_0011,clearance,2,3.4500000765547156e-05,101.7890625,0.0,"{""value"": 0.002700000000000813, ""passed"": false, ""unit"": ""mm"", ""explanation"": ""Scripted demo using an allowlisted arithmetic tool.""}",,"[{""step"": 0, ""response"": ""{\""tool\"": \""subtract\"", \""args\"": {\""a\"": 10.2474, \""b\"": 10.2447}}"", ""tool_ok"": true, ""feedback"": {""result"": 0.002700000000000813}}, {""step"": 1, ""response"": ""{\""value\"": 0.002700000000000813, \""passed\"": false, \""unit\"": \""mm\"", \""explanation\"": \""Scripted demo using an allowlisted arithmetic tool.\""}""}]",,,True,True,True,True,"{""value"": 0.002700000000000813, ""passed"": false, ""unit"": ""mm""}"
